NAME                                CREATION_TIMESTAMP           STATUS  IMAGE
gcp-multimodal-assistant-00022-qrf  2026-05-17T22:54:15.611138Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/cloud-run-source-deploy/gcp-multimodal-assistant@sha256:aba2f1481c6087b68383cc2b837a1a173234a259279e71d898fd1817b30b5cb3
gcp-multimodal-assistant-00021-r64  2026-05-17T22:49:30.283794Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/cloud-run-source-deploy/gcp-multimodal-assistant@sha256:2217aaad10cf93bcc4af42c93d73e870c6cd8ebf7f8cf92f33bf497c54811064
gcp-multimodal-assistant-00020-fd9  2026-05-17T22:47:52.193275Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/cloud-run-source-deploy/gcp-multimodal-assistant@sha256:707a36cb2d35b7f7c9061f15ba3b50076ee729b2f534e8fd2543a51ebd0b67f4
gcp-multimodal-assistant-00019-k5s  2026-05-17T22:42:11.995819Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/cloud-run-source-deploy/gcp-multimodal-assistant@sha256:16209de4f309d0eda7b742170ec6ffeb40e1b65427bec8a21fedfdb52bf401af
gcp-multimodal-assistant-00018-92t  2026-05-17T14:32:18.822286Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/cloud-run-source-deploy/gcp-multimodal-assistant@sha256:6d51eab5c293efc287796f449bb886ad648ae2cb1d697570b73b0c3e4bbc96a1
gcp-multimodal-assistant-00017-gng  2026-05-17T14:30:30.248707Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/cloud-run-source-deploy/gcp-multimodal-assistant@sha256:14bbb5c40c7826905a645ac610e4d24773f68778855571d71dc7f17b1da84708
gcp-multimodal-assistant-00016-zr2  2026-05-17T14:22:05.983988Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/cloud-run-source-deploy/gcp-multimodal-assistant@sha256:eec324019bb979f9a715ed6b2084b32b3873b88ed332d3b0e745c4ee62564846
gcp-multimodal-assistant-00015-5pv  2026-05-17T14:16:28.747643Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/cloud-run-source-deploy/gcp-multimodal-assistant@sha256:f3f2be5f54374e0a453da69e8c4d5588e653d32f780c86a1aca84036a6ca0074
gcp-multimodal-assistant-00014-nvh  2026-05-17T14:13:06.483856Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/cloud-run-source-deploy/gcp-multimodal-assistant@sha256:515c8ebbf2502b57aee59dabe41358f0b356193ffe904561c151a87df0222933
gcp-multimodal-assistant-00013-t4k  2026-05-17T13:58:26.776429Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/cloud-run-source-deploy/gcp-multimodal-assistant@sha256:f3511693d4bfb9a6d87aea973f3bb569a926f1898a1275728ff9253ebfb41d09
gcp-multimodal-assistant-00012-k47  2026-05-17T13:52:29.768871Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:30ed31c1a63c3ed5a03bc659764bba99246f24f4866304a3cf4d6eea8eeaa27a
gcp-multimodal-assistant-00011-mkb  2026-05-17T13:48:21.389366Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:b9084b76bbadb0e752d0d2d9ebb67d5d7b47605e080e798c18109b41f4ee4cdb
gcp-multimodal-assistant-00010-7kh  2026-05-17T13:03:59.378194Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:1b1585748e5faf409300ae0988cab9968200b9ea5bdbf1d2d69082537db561ad
gcp-multimodal-assistant-00009-g8m  2026-05-17T13:02:16.607343Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:821e826fda8b2ce92ef0949e4bd336d0b3fb6b38faa695bd83ab2dbb08778d71
gcp-multimodal-assistant-00008-q8c  2026-05-17T12:50:42.422532Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:9724cf85230bde222ee5edfaa996c11d70c52ed7abd595bdff9e8820810e4827
gcp-multimodal-assistant-00007-dfc  2026-05-17T12:44:53.950294Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:6bf38a070a28a2a68c0f3d10608b41f23ab28696214f8a214ae1dfd08e665cfa
gcp-multimodal-assistant-00006-gqh  2026-05-17T12:36:19.278012Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:3bff82c1737a8d00ec3c5cc594422a834bb01d6ea4a32c88a781489323d06896
gcp-multimodal-assistant-00005-rhl  2026-05-17T12:26:38.498992Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:20a7949c8324cd0681920045fac0cb57d1f363431516bf69e4e54bd1540310be
gcp-multimodal-assistant-00004-6gj  2026-05-17T12:20:12.635562Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:fb2cd75e23eca510bfc2772258264e9eebb5432432004e7ecc6cc5d9c66cfe4e
gcp-multimodal-assistant-00003-dl5  2026-05-17T12:17:49.434688Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:9197e02459b46da5a8039a61c314c723ac0e93eaa5412747ea2d0955de45090c
gcp-multimodal-assistant-00002-7jg  2026-05-17T12:15:21.611336Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:f23622cf026468c660aaca19771ffee8069108c8058e2f799831c6fbcb73bc5a
gcp-multimodal-assistant-00001-tzc  2026-05-17T12:10:58.029766Z  True    us-central1-docker.pkg.dev/project-40161111-553e-4592-93c/assistant/gcp-multimodal-assistant@sha256:b73b5f038bc905c1649da65d96ad619f2585c52890eb7e6ce5ad3ea90179b2b0
